Epoch,Loss,Train Accuracy,Test Accuracy
1,0.5372307282038188,0.7576818200317448,0.7592381572521569
2,0.5069122517597862,0.7574376297260998,0.7585870096044278
3,0.4876579017630623,0.7574376297260998,0.7585870096044278
4,0.48361932920912903,0.7572748361890033,0.7585870096044278
5,0.4813640955932594,0.757478328110374,0.7587497965163601
6,0.478616258672749,0.757478328110374,0.7587497965163601
7,0.47656939062289894,0.7574376297260998,0.7585870096044278
8,0.4759956477792002,0.7574376297260998,0.7585870096044278
9,0.47389499203321367,0.7574376297260998,0.7587497965163601
10,0.4710791839849359,0.7574376297260998,0.7585870096044278
11,0.470086406673848,0.7573155345732775,0.7597265179879538
12,0.46649960604069446,0.7582922957958569,0.7607032394595474
13,0.4686198465254468,0.7580888038744862,0.7602148787237506
14,0.4669071388974165,0.7573969313418257,0.7585870096044278
15,0.46604230647790246,0.7573969313418257,0.7592381572521569
16,0.46527926370617934,0.7574376297260998,0.7585870096044278
17,0.4627770056443599,0.757478328110374,0.7587497965163601
18,0.46372684539528564,0.7574376297260998,0.7585870096044278
19,0.46244015426297364,0.7574376297260998,0.7585870096044278
20,0.4627029202238191,0.7577225184160189,0.7602148787237506
21,0.4607730717495239,0.7574376297260998,0.7587497965163601
22,0.4601317071840943,0.7573969313418257,0.7585870096044278
23,0.45905579965134774,0.7573155345732775,0.7594009441640892
24,0.45939727263369906,0.7573969313418257,0.7587497965163601
25,0.45991383493916754,0.757763216800293,0.7595637310760215
26,0.4583437329080577,0.757478328110374,0.7589125834282924
27,0.45776424328020465,0.7572341378047291,0.7585870096044278
28,0.45671061624307185,0.757478328110374,0.7585870096044278
29,0.4538922318897676,0.757478328110374,0.7597265179879538
30,0.4552943677845178,0.7573969313418257,0.7585870096044278
