Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.5384118521275619,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.5257649999499941
2,0.5246934236298936,0.7575190264946482,0.862025844101709,0.7589125834282924,0.8629084513561048,0.5241195520696541
3,0.5232354064161578,0.7575597248789223,0.862045807183715,0.7590753703402247,0.8629883354934271,0.5248698996147141
4,0.5236464454016337,0.7576004232631964,0.8620657711903659,0.7590753703402247,0.8629883354934271,0.5239971155145516
5,0.5230377139135575,0.7581702006430344,0.8622432419900774,0.7587497965163601,0.8626506024096385,0.5229879302593569
6,0.5226896411234824,0.7582515974115828,0.8623342912765366,0.7594009441640892,0.8630720770798592,0.5231455227670571
7,0.5226977926989397,0.7583736925644052,0.8624133855530579,0.7595637310760215,0.8631773969430292,0.5236505677069848
8,0.5221933076002946,0.7580888038744862,0.8622798887859129,0.7595637310760215,0.8632027415022692,0.5235727634668971
9,0.5210464900786368,0.7578446135688414,0.8621728051887885,0.7592381572521569,0.8630428743402166,0.5249065045500174
10,0.5214197841123678,0.7577225184160189,0.8621128946332198,0.7590753703402247,0.8629883354934271,0.5290942376013845
11,0.522069106673977,0.758332994180131,0.8622785044994897,0.7589125834282924,0.8627051080003708,0.522285561154907
12,0.5208994528317513,0.7585771844857759,0.862347426555901,0.7592381572521569,0.8628650904033379,0.521736241139782
13,0.5208599494459728,0.7586585812543242,0.8622595930502648,0.7587497965163601,0.862369985141159,0.5220841859312108
14,0.5206729990313761,0.7579260103373896,0.8622191336576326,0.7589125834282924,0.8628830663827424,0.5258931612285475
15,0.5212112601147965,0.7582922957958569,0.8623351336315802,0.7594009441640892,0.8630720770798592,0.5243513121192033
16,0.5205895671970211,0.7584143909486794,0.8623568149144367,0.7592381572521569,0.8629413400055602,0.5229578503640369
17,0.5204633901109142,0.758332994180131,0.8623678842944558,0.7594009441640892,0.8630720770798592,0.5268338262103498
18,0.5196247819888716,0.7585771844857759,0.862334648410304,0.7592381572521569,0.8628650904033379,0.5229968165125077
19,0.5199015111429617,0.758332994180131,0.8623359762600269,0.7594009441640892,0.8630720770798592,0.5248802119555572
20,0.5205186788031521,0.7583736925644052,0.8623368191620099,0.7592381572521569,0.8629413400055602,0.52624838182237
21,0.5196915468356261,0.758007407105938,0.8622526988833804,0.7590753703402247,0.8629629629629629,0.5317798722535372
22,0.5207296914498633,0.758332994180131,0.8623359762600269,0.7594009441640892,0.8630720770798592,0.5275823680761581
23,0.5207349094368207,0.7584550893329535,0.8623895754596675,0.7592381572521569,0.8629667377003614,0.527005620727626
24,0.5193588922556955,0.7587806764071466,0.8624474923994523,0.7592381572521569,0.862814210184584,0.5230596287874505
25,0.5196737154231718,0.7584143909486794,0.8623504313143493,0.7592381572521569,0.8629159328946149,0.5252344614903753
26,0.5198182878860583,0.7582515974115828,0.8623342912765366,0.7594009441640892,0.8630720770798592,0.5286530348239467
27,0.5196524730320865,0.758332994180131,0.8623232089033156,0.7594009441640892,0.8630720770798592,0.5262222626867393
28,0.5199525706702843,0.7585771844857759,0.8623921313909251,0.7594009441640892,0.8629705173372891,0.5229660523279259
29,0.5189421553125916,0.7580481054902121,0.8622343753620837,0.7597265179879538,0.8632826972952945,0.5300299158940712
30,0.519327029081372,0.758332994180131,0.8623040534273259,0.7594009441640892,0.8630213160333642,0.5256970618696263
31,0.5185422178280229,0.758332994180131,0.8623551228558183,0.7594009441640892,0.8630720770798592,0.5322036751313135
32,0.5185919516176606,0.7578039151845671,0.8621528340784322,0.7589125834282924,0.8628830663827424,0.5406212966190651
33,0.5187378445019325,0.7584143909486794,0.8623568149144367,0.7594009441640892,0.8630213160333642,0.5300873135759806
34,0.5182674242532812,0.7583736925644052,0.8623495861445364,0.7594009441640892,0.8630720770798592,0.5325370537660395
35,0.5184342421610685,0.7583736925644052,0.8623878728878381,0.7594009441640892,0.8630720770798592,0.5309287852142006
36,0.5190209538365403,0.7582922957958569,0.8623223682685398,0.7594009441640892,0.8630720770798592,0.5331269643114259
37,0.519048746539435,0.7582515974115828,0.8622896091250521,0.7594009441640892,0.8630720770798592,0.531416414033932
38,0.5181269205058925,0.7580888038744862,0.8622671239225137,0.7594009441640892,0.8631228005186146,0.5352754882381608
39,0.5173745346158588,0.7583736925644052,0.8623304347826087,0.7594009441640892,0.8630467012601928,0.5366422273606682
40,0.5181988926682001,0.7581702006430344,0.8622624014835419,0.7594009441640892,0.8630720770798592,0.5323920431934918
41,0.5178662924445234,0.7582515974115828,0.8622959940652819,0.7594009441640892,0.8630720770798592,0.536568092337499
42,0.5181614053047573,0.7578853119531155,0.8621736209253296,0.7592381572521569,0.8630428743402166,0.5357072849292308
43,0.518660002911929,0.7580481054902121,0.8622535276535601,0.7594009441640892,0.8631228005186146,0.5395871994939322
44,0.5181857021525502,0.7581702006430344,0.8622943221320973,0.7597265179879538,0.8632826972952945,0.5366430703240136
45,0.5165540772723034,0.7582922957958569,0.8623223682685398,0.7594009441640892,0.8630720770798592,0.5359595923218876
46,0.517513457123035,0.7582515974115828,0.8622896091250521,0.7594009441640892,0.8630720770798592,0.5330744316258157
47,0.516911015418979,0.7584143909486794,0.8623631979224634,0.7595637310760215,0.8631520429908274,0.5350809812468166
48,0.5171046329584593,0.7582922957958569,0.8623542772382784,0.7597265179879538,0.8632826972952945,0.5391734380973503
49,0.5186458380970483,0.7581702006430344,0.862281555648264,0.7594009441640892,0.8630974434975917,0.5322803977954512
50,0.5174024017178454,0.7582515974115828,0.8623279098873592,0.7597265179879538,0.8632826972952945,0.540074297071745
