Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.6403978089673803,0.6580608146873207,0.0,0.37431527693244065,0.0,0.8124938503052425
2,0.5961097290209674,0.6580608146873207,0.0,0.37431527693244065,0.0,0.841470759470486
3,0.572986674691559,0.6580608146873207,0.0,0.37431527693244065,0.0,0.8423409936497512
4,0.5558031411892778,0.6580608146873207,0.0,0.37431527693244065,0.0,0.8353927798062852
5,0.5397977818042861,0.6580608146873207,0.0,0.371880706025563,0.0,0.8252640705085496
6,0.5222582920975641,0.6597819850831899,0.013311148086522463,0.36579427875836884,0.015122873345935728,0.8135138258193303
7,0.509548692528261,0.6718301778542742,0.08038585209003216,0.3590992087644553,0.07387862796833773,0.7993588719553161
8,0.49243421483477323,0.678714859437751,0.1167192429022082,0.35605599513085817,0.06866197183098592,0.8154910843349198
9,0.47522502071266876,0.7337923121055652,0.3643835616438356,0.3268411442483262,0.16591251885369532,0.8000690514601551
10,0.46270164081809717,0.7733792312105565,0.5068664169787765,0.3371880706025563,0.22711142654364797,0.7950430859639807
11,0.44279787081097244,0.810671256454389,0.6215596330275229,0.3444917833231893,0.2881692002643754,0.7958510998383309
12,0.4299272544887088,0.7314974182444062,0.35537190082644626,0.34388314059646985,0.1320450885668277,0.8549329927824076
13,0.4152575154370124,0.8881239242685026,0.8071216617210683,0.36944613511868535,0.40253748558246827,0.7861850302196244
14,0.398624542382879,0.891566265060241,0.8145240431795878,0.3676202069385271,0.39837869137232196,0.7961566205163604
15,0.3844316727524504,0.934021801491681,0.8964896489648965,0.40048691418137555,0.5017703591299949,0.7754349517590792
16,0.37143035520107376,0.9414802065404475,0.9094138543516874,0.4126597687157638,0.5201392342118349,0.7767630092148642
17,0.36303062026106986,0.8003442340791739,0.5915492957746479,0.32014607425441266,0.21060070671378092,0.8994817542798311
18,0.34414493053331285,0.9156626506024096,0.862488306828812,0.3676202069385271,0.4331696672122204,0.8216174296962405
19,0.3296078600741308,0.9569707401032702,0.9357326478149101,0.4522215459525259,0.5734597156398105,0.7751604243389612
20,0.3243734207722025,0.9454962707974757,0.9162995594713657,0.4230066950699939,0.5264735264735265,0.801324522611007
21,0.31488854513255826,0.9730349971313826,0.9613168724279836,0.5149117468046257,0.6493620765508139,0.7530419869909009
22,0.3008255009804297,0.9724612736660929,0.9603960396039604,0.5057821059038344,0.6362007168458781,0.7603342400013822
23,0.28477515362271477,0.9690189328743546,0.9561688311688312,0.5496043822276324,0.6843003412969283,0.7311774868409611
24,0.2766402454004375,0.9718875502008032,0.9600651996740016,0.5404747413268411,0.6774882528833832,0.7478876562373152
25,0.27196052998577785,0.8904188181296615,0.8118226600985222,0.37431527693244065,0.3693251533742331,0.9331897375653091
