Epoch,Loss,Train Accuracy,Test Accuracy
1,0.6874198083144923,0.6211794391762647,0.6223343643171089
2,0.684464562839518,0.48947946766513367,0.48738401432524825
3,0.6834658415367206,0.45765333116275286,0.45808237017743775
4,0.6828581251902506,0.5364861015017703,0.5311736936350318
5,0.682392215821892,0.48781083390989377,0.48738401432524825
6,0.6814406205279132,0.5457653331162753,0.5440338596776819
7,0.6805249518559625,0.5310325180090351,0.5303597590753704
8,0.6801205175773551,0.42944935086077085,0.4278040045580335
9,0.6797532072523609,0.5164217980546172,0.5147322155298714
10,0.6784478372040516,0.49281673517561353,0.49389549080253947
11,0.6774250457528979,0.49997965080786294,0.5015464756633566
12,0.6770046817837283,0.4439786740466404,0.4431059742796679
13,0.6767472209564099,0.41325139391966137,0.41233924792446686
14,0.6758073317275072,0.39082658418460786,0.3880839980465571
15,0.6750129534242054,0.41605958243457736,0.4147810516034511
16,0.6746476938327154,0.3897684261934801,0.3879212111346248
17,0.6736430960396925,0.39225102763420294,0.3893862933420153
18,0.6737312595748032,0.3585527654552114,0.35715448477942374
19,0.673737763077952,0.38317528794106875,0.3818980953931304
20,0.6721636701064805,0.32953481746774654,0.3263877584242227
21,0.6726221342105418,0.4323389361442351,0.4299202344131532
22,0.6721487765122826,0.38366366855235845,0.3818980953931304
23,0.6717770680164298,0.4079199055797485,0.403711541592056
24,0.6722270484315231,0.40421635261080135,0.3988279342340876
25,0.6714168092003092,0.41662935981441535,0.40892072277388897
26,0.6713970445950205,0.3842741443164706,0.3801074393618753
27,0.671027414733544,0.3901754100362216,0.3854794074556406
28,0.6716717472687984,0.38614626999308127,0.3827120299527918
29,0.6708727587247267,0.35957022506206504,0.3592707146345434
30,0.6709654122823849,0.3678319970697163,0.3667589125834283
31,0.6702711125447726,0.38508811200195353,0.37961907862607847
32,0.6701971724396572,0.3292499287778275,0.3289923490151392
33,0.6698977320144573,0.35932603475642017,0.3591079277226111
34,0.6704349876769508,0.3614423507386757,0.3628520266970536
35,0.6694543428408603,0.3889951568922714,0.38580498127950513
36,0.6699164524907246,0.36722152130560415,0.366596125671496
37,0.6700546396896243,0.3525294045826381,0.3540615334527104
38,0.6699279906849066,0.3135403524480078,0.3128764447338434
39,0.6695679132438576,0.30564486589882384,0.3053882467849585
40,0.6690256184277436,0.28936551218916606,0.2895979163275273
41,0.6686441610412052,0.33608725733588374,0.3350154647566336
42,0.6693064899494251,0.3349884009604819,0.33517825166856585
43,0.6684623645075286,0.2946156037605307,0.29480709750936024
44,0.6680968196985001,0.322331203451223,0.32085300341852513
45,0.6690416371760269,0.30116804362866795,0.2990395572195995
46,0.668253307385991,0.3063367384314843,0.3071789028162136
47,0.668672637315467,0.31630784257864963,0.3162949698844213
48,0.6684423500749593,0.28720849782263647,0.29057463779912096
49,0.6680849225182707,0.282568882015384,0.2874816864724076
50,0.6681896460553011,0.2914818281714216,0.29122578544685007
