Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.4954305437131552,0.7642749582841561,0.8277010947168015,0.763307830050464,0.826574427480916,0.4949154620214055
2,0.28657883307459997,0.9526677790891701,0.9689874936668356,0.9550708123066906,0.9705254164886801,0.12696941022901834
3,0.1702697093505776,0.9518131130194132,0.9690295579387915,0.9508383525964512,0.9684232538686742,0.1297571231890894
4,0.13178662011553874,0.9718774164665662,0.981749993397248,0.973302946443106,0.9826601818566293,0.08278069047507113
5,0.1149437740510469,0.9814822351552643,0.9877855628036831,0.9775354061533452,0.9852026592322539,0.06566843385098764
6,0.10249267981028727,0.9851450897399373,0.9902429896548959,0.9829073742471105,0.9887976101568334,0.04905782705888365
7,0.08693291747749754,0.984209026901632,0.9895106785617734,0.9837213088067719,0.9892101855848079,0.05190874020111854
8,0.0765697883117203,0.9839648365959871,0.9895207191871908,0.9830701611590428,0.9889549702633815,0.04820250333143387
9,0.06859406892059876,0.9746042082129339,0.9829842931937173,0.9723262249715123,0.9814693699585786,0.08091953626838706
10,0.06453088595539687,0.9938952423588784,0.9959720730397422,0.9930001627869119,0.9953877507240159,0.02370136021105888
11,0.054680775123396565,0.9929998779048472,0.9953961456102783,0.991860654403386,0.9946535500427716,0.029456021136766708
12,0.05737739165158473,0.9925521956778316,0.9951031548526933,0.9912095067556569,0.9942270686337396,0.029330260895670552
13,0.052372472483502484,0.9919010215294453,0.9946478039859068,0.9902327852840631,0.9935553168635876,0.029964151740324258
14,0.05142264557101347,0.9953603841927475,0.9969340003227368,0.9944652449943024,0.9963464431549538,0.019408757953470968
15,0.048000996417518614,0.9952382890399251,0.9968609985780592,0.9952791795539638,0.9968900804289544,0.01958487611668147
16,0.046965863493307815,0.994912701965732,0.9966469057646397,0.9949536057300993,0.9966791644349223,0.018603118077899456
17,0.043022627221385314,0.9964592405681495,0.9976657454857664,0.9960931141136252,0.997427652733119,0.0155759696942764
18,0.036649727171682876,0.9967848276423426,0.9978770859645822,0.9956047533778284,0.9970995810505962,0.015840848457690033
19,0.04043608810017455,0.9974360017907289,0.9983087702343562,0.9969070486732867,0.9979633401221996,0.012140833679827287
20,0.039132720471585,0.9916568312238004,0.9944658909915504,0.9903955721959954,0.993634696299493,0.030227216516683104
21,0.038392184080227786,0.9971104147165357,0.9980932943040525,0.9957675402897607,0.9972108989487235,0.013239892646559781
22,0.03552537534376891,0.9974360017907289,0.9983093148699783,0.9973954094090836,0.9982851018220793,0.011292083087860524
23,0.036669637974583225,0.9955638761141182,0.9970773562139696,0.9949536057300993,0.9966791644349223,0.020215533015334113
24,0.03831148496621021,0.9966627324895202,0.9977998390126107,0.9975581963210158,0.9983917658411064,0.011745167513629676
25,0.033573850232807935,0.9972325098693582,0.9981755741575445,0.9975581963210158,0.9983914209115281,0.011130133359680864
26,0.031638292214650456,0.9977208904806479,0.998496321357607,0.9967442617613543,0.9978545376528641,0.011640203056100104
27,0.03371712830967747,0.9980464775548411,0.9987107864202837,0.9978837701448804,0.9986058981233243,0.011293683871995105
28,0.030198583359949776,0.9974360017907289,0.998309133363751,0.9967442617613543,0.9978545376528641,0.012739662333619783
29,0.03250203045035486,0.9975580969435514,0.9983875302338081,0.9959303272016929,0.9973150037589947,0.013026526835927163
