Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.5286202099329481,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.5190166458875561
2,0.5174065310081156,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.5161850975903993
3,0.5147727930258649,0.7577225184160189,0.8621065066827268,0.7590753703402247,0.8629629629629629,0.5122482652853554
4,0.5123008607964342,0.7575597248789223,0.862045807183715,0.7587497965163601,0.8628285820066642,0.5127613807174688
5,0.5110649159566188,0.7576818200317448,0.8620929262982351,0.7592381572521569,0.8630428743402166,0.5100741266505793
6,0.5110466858410897,0.7578039151845671,0.8621528340784322,0.7590753703402247,0.8629629629629629,0.5095894339028746
7,0.5092490836007831,0.7593097554027105,0.8627205199628598,0.759889304899886,0.8631852332807717,0.5082573551917449
8,0.5096508423739579,0.7578039151845671,0.8621208961794212,0.7595637310760215,0.8632027415022692,0.5073846567732593
9,0.5072713411063887,0.757763216800293,0.862107311648596,0.7595637310760215,0.8632027415022692,0.5072614052720988
10,0.5078900155591933,0.7591062634813398,0.8626841433708387,0.7597265179879538,0.863206672845227,0.5054954943868021
11,0.5063322856052158,0.7590248667127915,0.8626313713662622,0.7597265179879538,0.8631813125695217,0.5045107287975649
12,0.5059104366324997,0.7586585812543242,0.8624512896641306,0.7600520918118183,0.8633920296570899,0.5040473502594978
13,0.5041888314493311,0.7590655650970657,0.8626322628550214,0.7600520918118183,0.8633667037449018,0.5027870067084829
14,0.5022600404627156,0.7597981360140003,0.8629163376225205,0.7607032394595474,0.8635857461024499,0.5014812575730806
15,0.5012676619032087,0.75861788287005,0.8624121372398914,0.7605404525476152,0.8636826985450838,0.5003141578442106
16,0.4998409167455975,0.7586585812543242,0.862317158114697,0.759889304899886,0.8632359758924432,0.49910569629476714
17,0.4982050616235938,0.7582922957958569,0.8622329443967617,0.7597265179879538,0.863206672845227,0.4989844659188141
18,0.49719523487146944,0.7585364861015018,0.8622634939059779,0.7595637310760215,0.8629997217326778,0.4975246142130345
19,0.49651987878799747,0.7583736925644052,0.8622090189616357,0.7594009441640892,0.8628178949322443,0.49813296432451654
20,0.4945260212892511,0.7604493101623866,0.8625986273868995,0.7590753703402247,0.8618629830128803,0.4953378554588805
21,0.4947414925166716,0.7621179439176264,0.8622274602239246,0.7585870096044278,0.8603709631861407,0.49617600289639086
22,0.4927247569139581,0.7606528020837573,0.8625195782780466,0.7592381572521569,0.8617110799438991,0.49458070456360775
23,0.49219844354471814,0.7601644214724675,0.8624063134791846,0.7590753703402247,0.8618629830128803,0.49484164993433905
24,0.492489508886744,0.7613039762321436,0.8619967528647733,0.7582614357805633,0.8604454468564985,0.49331464315764606
25,0.49156290221920546,0.7609376907736762,0.8624098191698679,0.7582614357805633,0.8609680741503605,0.4933836505515501
