Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.5565120682585984,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.5449710158475985
2,0.5458062031733183,0.7574376297260998,0.8619795285072483,0.7585870096044278,0.8627233175969639,0.543089936953038
3,0.5438326713241016,0.7574376297260998,0.8619795285072483,0.7585870096044278,0.8627233175969639,0.5405473129358143
4,0.5420085178144897,0.7573562329575516,0.861926817971283,0.7584242226924955,0.8626180336974635,0.5394884468211482
5,0.5397082107374445,0.7573562329575516,0.861926817971283,0.7585870096044278,0.862697898342746,0.5363169395520041
6,0.5375768833522064,0.7573969313418257,0.8619531738496098,0.7589125834282924,0.8629084513561048,0.5348125567349294
7,0.5359073619280631,0.757193439420455,0.8618213822493979,0.7590753703402247,0.8629629629629629,0.5332228337259343
8,0.5328882020063853,0.7570713442676326,0.8616846251882748,0.7584242226924955,0.8625162127107653,0.5320484494635215
9,0.5326520402450114,0.7571120426519067,0.8617430385025251,0.7582614357805633,0.8624363131079203,0.5295734718286743
10,0.5306059190188535,0.7570713442676326,0.8616718036661954,0.758098648868631,0.8623054114158636,0.5298417825251818
11,0.5297893399256282,0.7569899474990843,0.8615933798474769,0.7577730750447664,0.8620689655172413,0.5281155911895136
12,0.528813007074253,0.7570713442676326,0.8616846251882748,0.758098648868631,0.8622798887859129,0.5265205672476441
13,0.5270950427802745,0.7571527410361809,0.8617437846103941,0.7582614357805633,0.8624363131079203,0.5258884519183388
14,0.5255882567143999,0.7568678523462619,0.8615527230590961,0.7582614357805633,0.8624108218289632,0.5243936993647367
15,0.5235494819644373,0.7571527410361809,0.8617437846103941,0.7584242226924955,0.8625416821044831,0.5221554612119993
16,0.5211986355134286,0.7572748361890033,0.8618293021962746,0.7589125834282924,0.8628322682226545,0.5191562733768175
17,0.5189583869553948,0.7573969313418257,0.861902003938376,0.7584242226924955,0.8625416821044831,0.5166481464790801
