Epoch: 15 | Loss: 0.6278 | Train Acc: 0.7583 | Train F1: 0.8620 | Test Acc: 0.7601 | Test F1: 0.8631 | Test Loss: 0.7608
Epoch: 16 | Loss: 0.6243 | Train Acc: 0.7593 | Train F1: 0.8625 | Test Acc: 0.7604 | Test F1: 0.8632 | Test Loss: 0.7730
Epoch: 17 | Loss: 0.6205 | Train Acc: 0.7568 | Train F1: 0.8614 | Test Acc: 0.7601 | Test F1: 0.8633 | Test Loss: 0.8050
Epoch: 18 | Loss: 0.6167 | Train Acc: 0.7568 | Train F1: 0.8615 | Test Acc: 0.7587 | Test F1: 0.8627 | Test Loss: 0.8294
Epoch: 19 | Loss: 0.6112 | Train Acc: 0.7567 | Train F1: 0.8614 | Test Acc: 0.7594 | Test F1: 0.8630 | Test Loss: 0.8424
Epoch: 20 | Loss: 0.6097 | Train Acc: 0.7584 | Train F1: 0.8620 | Test Acc: 0.7610 | Test F1: 0.8636 | Test Loss: 0.8123
Epoch: 21 | Loss: 0.6060 | Train Acc: 0.7575 | Train F1: 0.8618 | Test Acc: 0.7601 | Test F1: 0.8633 | Test Loss: 0.8550
Epoch: 22 | Loss: 0.6029 | Train Acc: 0.7567 | Train F1: 0.8613 | Test Acc: 0.7601 | Test F1: 0.8633 | Test Loss: 0.9114
Epoch: 23 | Loss: 0.6006 | Train Acc: 0.7572 | Train F1: 0.8615 | Test Acc: 0.7602 | Test F1: 0.8634 | Test Loss: 0.9246
Epoch: 24 | Loss: 0.5986 | Train Acc: 0.7582 | Train F1: 0.8620 | Test Acc: 0.7605 | Test F1: 0.8634 | Test Loss: 0.8566
Epoch: 25 | Loss: 0.5953 | Train Acc: 0.7589 | Train F1: 0.8623 | Test Acc: 0.7610 | Test F1: 0.8636 | Test Loss: 0.8422
Epoch: 1 | Loss: 0.6404 | Train Acc: 0.6581 | Train F1: 0.0000 | Test Acc: 0.3743 | Test F1: 0.0000 | Test Loss: 0.8125
Epoch: 2 | Loss: 0.5961 | Train Acc: 0.6581 | Train F1: 0.0000 | Test Acc: 0.3743 | Test F1: 0.0000 | Test Loss: 0.8415
Epoch: 3 | Loss: 0.5730 | Train Acc: 0.6581 | Train F1: 0.0000 | Test Acc: 0.3743 | Test F1: 0.0000 | Test Loss: 0.8423
Epoch: 4 | Loss: 0.5558 | Train Acc: 0.6581 | Train F1: 0.0000 | Test Acc: 0.3743 | Test F1: 0.0000 | Test Loss: 0.8354
Epoch: 5 | Loss: 0.5398 | Train Acc: 0.6581 | Train F1: 0.0000 | Test Acc: 0.3719 | Test F1: 0.0000 | Test Loss: 0.8253
Epoch: 6 | Loss: 0.5223 | Train Acc: 0.6598 | Train F1: 0.0133 | Test Acc: 0.3658 | Test F1: 0.0151 | Test Loss: 0.8135
Epoch: 7 | Loss: 0.5095 | Train Acc: 0.6718 | Train F1: 0.0804 | Test Acc: 0.3591 | Test F1: 0.0739 | Test Loss: 0.7994
Epoch: 8 | Loss: 0.4924 | Train Acc: 0.6787 | Train F1: 0.1167 | Test Acc: 0.3561 | Test F1: 0.0687 | Test Loss: 0.8155
Epoch: 9 | Loss: 0.4752 | Train Acc: 0.7338 | Train F1: 0.3644 | Test Acc: 0.3268 | Test F1: 0.1659 | Test Loss: 0.8001
Epoch: 10 | Loss: 0.4627 | Train Acc: 0.7734 | Train F1: 0.5069 | Test Acc: 0.3372 | Test F1: 0.2271 | Test Loss: 0.7950
Epoch: 11 | Loss: 0.4428 | Train Acc: 0.8107 | Train F1: 0.6216 | Test Acc: 0.3445 | Test F1: 0.2882 | Test Loss: 0.7959
Epoch: 12 | Loss: 0.4299 | Train Acc: 0.7315 | Train F1: 0.3554 | Test Acc: 0.3439 | Test F1: 0.1320 | Test Loss: 0.8549
Epoch: 13 | Loss: 0.4153 | Train Acc: 0.8881 | Train F1: 0.8071 | Test Acc: 0.3694 | Test F1: 0.4025 | Test Loss: 0.7862
Epoch: 14 | Loss: 0.3986 | Train Acc: 0.8916 | Train F1: 0.8145 | Test Acc: 0.3676 | Test F1: 0.3984 | Test Loss: 0.7962
Epoch: 15 | Loss: 0.3844 | Train Acc: 0.9340 | Train F1: 0.8965 | Test Acc: 0.4005 | Test F1: 0.5018 | Test Loss: 0.7754
Epoch: 16 | Loss: 0.3714 | Train Acc: 0.9415 | Train F1: 0.9094 | Test Acc: 0.4127 | Test F1: 0.5201 | Test Loss: 0.7768
Epoch: 17 | Loss: 0.3630 | Train Acc: 0.8003 | Train F1: 0.5915 | Test Acc: 0.3201 | Test F1: 0.2106 | Test Loss: 0.8995
Epoch: 18 | Loss: 0.3441 | Train Acc: 0.9157 | Train F1: 0.8625 | Test Acc: 0.3676 | Test F1: 0.4332 | Test Loss: 0.8216
Epoch: 19 | Loss: 0.3296 | Train Acc: 0.9570 | Train F1: 0.9357 | Test Acc: 0.4522 | Test F1: 0.5735 | Test Loss: 0.7752
Epoch: 20 | Loss: 0.3244 | Train Acc: 0.9455 | Train F1: 0.9163 | Test Acc: 0.4230 | Test F1: 0.5265 | Test Loss: 0.8013
Epoch: 21 | Loss: 0.3149 | Train Acc: 0.9730 | Train F1: 0.9613 | Test Acc: 0.5149 | Test F1: 0.6494 | Test Loss: 0.7530
Epoch: 22 | Loss: 0.3008 | Train Acc: 0.9725 | Train F1: 0.9604 | Test Acc: 0.5058 | Test F1: 0.6362 | Test Loss: 0.7603
Epoch: 23 | Loss: 0.2848 | Train Acc: 0.9690 | Train F1: 0.9562 | Test Acc: 0.5496 | Test F1: 0.6843 | Test Loss: 0.7312
Epoch: 24 | Loss: 0.2766 | Train Acc: 0.9719 | Train F1: 0.9601 | Test Acc: 0.5405 | Test F1: 0.6775 | Test Loss: 0.7479
Epoch: 25 | Loss: 0.2720 | Train Acc: 0.8904 | Train F1: 0.8118 | Test Acc: 0.3743 | Test F1: 0.3693 | Test Loss: 0.9332
Epoch: 1 | Loss: 0.5525 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5258
Epoch: 2 | Loss: 0.5251 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5252
Epoch: 3 | Loss: 0.5234 | Train Acc: 0.7576 | Train F1: 0.8621 | Test Acc: 0.7592 | Test F1: 0.8631 | Test Loss: 0.5243
Epoch: 4 | Loss: 0.5233 | Train Acc: 0.7576 | Train F1: 0.8620 | Test Acc: 0.7589 | Test F1: 0.8629 | Test Loss: 0.5248
Epoch: 5 | Loss: 0.5228 | Train Acc: 0.7576 | Train F1: 0.8621 | Test Acc: 0.7591 | Test F1: 0.8630 | Test Loss: 0.5255
Epoch: 6 | Loss: 0.5215 | Train Acc: 0.7579 | Train F1: 0.8622 | Test Acc: 0.7596 | Test F1: 0.8632 | Test Loss: 0.5226
Epoch: 7 | Loss: 0.5221 | Train Acc: 0.7583 | Train F1: 0.8623 | Test Acc: 0.7589 | Test F1: 0.8627 | Test Loss: 0.5223
Epoch: 8 | Loss: 0.5215 | Train Acc: 0.7583 | Train F1: 0.8624 | Test Acc: 0.7596 | Test F1: 0.8632 | Test Loss: 0.5225
Epoch: 9 | Loss: 0.5214 | Train Acc: 0.7584 | Train F1: 0.8623 | Test Acc: 0.7589 | Test F1: 0.8628 | Test Loss: 0.5218
Epoch: 10 | Loss: 0.5218 | Train Acc: 0.7584 | Train F1: 0.8624 | Test Acc: 0.7594 | Test F1: 0.8631 | Test Loss: 0.5237
Epoch: 11 | Loss: 0.5215 | Train Acc: 0.7581 | Train F1: 0.8623 | Test Acc: 0.7597 | Test F1: 0.8633 | Test Loss: 0.5260
Epoch: 12 | Loss: 0.5216 | Train Acc: 0.7583 | Train F1: 0.8624 | Test Acc: 0.7594 | Test F1: 0.8631 | Test Loss: 0.5235
Epoch: 13 | Loss: 0.5205 | Train Acc: 0.7584 | Train F1: 0.8623 | Test Acc: 0.7591 | Test F1: 0.8628 | Test Loss: 0.5217
Epoch: 14 | Loss: 0.5205 | Train Acc: 0.7584 | Train F1: 0.8623 | Test Acc: 0.7591 | Test F1: 0.8628 | Test Loss: 0.5219
Epoch: 15 | Loss: 0.5204 | Train Acc: 0.7583 | Train F1: 0.8623 | Test Acc: 0.7589 | Test F1: 0.8627 | Test Loss: 0.5220
Epoch: 16 | Loss: 0.5193 | Train Acc: 0.7584 | Train F1: 0.8624 | Test Acc: 0.7594 | Test F1: 0.8631 | Test Loss: 0.5238
Epoch: 17 | Loss: 0.5204 | Train Acc: 0.7588 | Train F1: 0.8624 | Test Acc: 0.7589 | Test F1: 0.8625 | Test Loss: 0.5213
Epoch: 18 | Loss: 0.5199 | Train Acc: 0.7584 | Train F1: 0.8623 | Test Acc: 0.7592 | Test F1: 0.8629 | Test Loss: 0.5251
Epoch: 19 | Loss: 0.5197 | Train Acc: 0.7587 | Train F1: 0.8624 | Test Acc: 0.7586 | Test F1: 0.8624 | Test Loss: 0.5231
Epoch: 20 | Loss: 0.5197 | Train Acc: 0.7585 | Train F1: 0.8624 | Test Acc: 0.7592 | Test F1: 0.8629 | Test Loss: 0.5237
Epoch: 21 | Loss: 0.5198 | Train Acc: 0.7583 | Train F1: 0.8623 | Test Acc: 0.7591 | Test F1: 0.8628 | Test Loss: 0.5228
Epoch: 22 | Loss: 0.5193 | Train Acc: 0.7584 | Train F1: 0.8624 | Test Acc: 0.7594 | Test F1: 0.8630 | Test Loss: 0.5252
Epoch: 23 | Loss: 0.5191 | Train Acc: 0.7590 | Train F1: 0.8625 | Test Acc: 0.7587 | Test F1: 0.8624 | Test Loss: 0.5228
Epoch: 24 | Loss: 0.5191 | Train Acc: 0.7584 | Train F1: 0.8624 | Test Acc: 0.7597 | Test F1: 0.8632 | Test Loss: 0.5241
Epoch: 25 | Loss: 0.5191 | Train Acc: 0.7583 | Train F1: 0.8623 | Test Acc: 0.7594 | Test F1: 0.8631 | Test Loss: 0.5259
