Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.6844602409983054,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.7007497445835421
2,0.6799179712543264,0.7572341378047291,0.8618477430113255,0.7587497965163601,0.8628031845954452,0.6934867373978099
3,0.677364312694408,0.7571120426519067,0.8617558489691916,0.7587497965163601,0.8628031845954452,0.693840728684639
4,0.6742637869513904,0.7570713442676326,0.8617230754974865,0.7590753703402247,0.8629629629629629,0.6981555104721338
5,0.6721508902264759,0.7572748361890033,0.8615406045410224,0.7585870096044278,0.8623154767431065,0.6868710739072412
6,0.6690046213722477,0.7569899474990843,0.8616639251210527,0.7589125834282924,0.8628322682226545,0.7039854656128833
7,0.6650372399405265,0.7572341378047291,0.8616490780470833,0.7590753703402247,0.8627850917856481,0.6993083292618394
8,0.6610449580475688,0.7573562329575516,0.8619204224373523,0.7587497965163601,0.8628031845954452,0.7386642870648453
9,0.6567385837358112,0.7595132473240812,0.8625526272940848,0.7611916001953443,0.863522188110522,0.7019421830773354
10,0.652203832520172,0.7571527410361809,0.8617309697601668,0.7590753703402247,0.8629121896998888,0.7281509171395252
11,0.6478409162955359,0.7572341378047291,0.8617773143320588,0.7592381572521569,0.8630175048624618,0.7609379108374318
12,0.6436654271480317,0.7585364861015018,0.862250702328713,0.759889304899886,0.8630836350134595,0.728229783475399
13,0.638424847042188,0.7572748361890033,0.8617139677239845,0.7592381572521569,0.862890516362288,0.7710468420991674
14,0.6346768638274322,0.7580888038744862,0.8620241411327763,0.7597265179879538,0.8630289532293987,0.7493566286284477
15,0.6278407472224595,0.7582515974115828,0.8620465418737517,0.7600520918118183,0.86313834726091,0.7607557317630077
16,0.62433453843308,0.7593097554027105,0.8625226649309591,0.7603776656356829,0.8632224493588553,0.7730460948854064
17,0.6205159927873561,0.7568271539619877,0.8614171402064247,0.7600520918118183,0.8633160237388724,0.8049640656681731
18,0.6166573795295941,0.7567864555777135,0.8614614243323442,0.7587497965163601,0.8627015008337966,0.8294374954421073
19,0.6111867550062016,0.7567457571934394,0.8614157527417746,0.7594009441640892,0.8629959213941416,0.842432004904064
20,0.6097282564539152,0.7583736925644052,0.8620489346376374,0.761028813283412,0.8635941274855975,0.8122538353782147
21,0.6059561621708175,0.7575190264946482,0.8617505104882124,0.7600520918118183,0.8632906696345761,0.8550250446035838
22,0.6029084960076337,0.7566643604248912,0.8613243650701612,0.7600520918118183,0.8633160237388724,0.911416694133853
23,0.6005613682015488,0.7571527410361809,0.8615448871151125,0.7602148787237506,0.8633707448288656,0.9245991814144267
24,0.5986050723392206,0.7582108990273086,0.8619624061897349,0.7605404525476152,0.8634042158046243,0.8566198819316924
25,0.5952871193294413,0.7589027715599691,0.8622517788215598,0.761028813283412,0.8635687732342008,0.8421632963775968
