Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.38728797299457557,0.852224166700582,0.9107533489000861,0.8477942373433176,0.9084679393049437,0.44209418242098764
2,0.19539027357010733,0.9213707215823532,0.9456723468871268,0.9160019534429432,0.9418657052726453,0.22417724169887757
3,0.1564437094460421,0.9682145618818933,0.9793664632374309,0.9695588474686635,0.980263852242744,0.09505633922344714
4,0.13222968506958446,0.9131903463432501,0.9457762411978544,0.9163275272668078,0.9477004477004477,0.2602433288796912
5,0.11113320009485506,0.9843311220544544,0.9896497029330322,0.9820934396874491,0.9881796690307328,0.0565459829908832
6,0.09577761750210811,0.9801391884742175,0.9870267971076138,0.9796516360084649,0.9867176708107533,0.059167609632102845
7,0.09127282455419088,0.9865288348052582,0.9911338494093698,0.9835585218948396,0.9891990161480055,0.044631925541807504
8,0.07552858155031572,0.9798136014000244,0.9868148226912649,0.9783493407130067,0.9858885941644563,0.061983473739331885
9,0.07118448352503037,0.992104513450816,0.994783263418307,0.9925118020511151,0.9950558899398109,0.030277962616840643
10,0.06435096583439304,0.959098123804485,0.9722659160526533,0.9539313039231646,0.9687119955776672,0.11929164602436988
11,0.06719610806017802,0.976313540352448,0.9841313120296652,0.9737913071789028,0.9824484901340892,0.07065446612735589
12,0.056008264560527245,0.9504700663383664,0.9682750710356873,0.9480709750936025,0.9668019564991154,0.1484209594573258
13,0.055186064983918946,0.9843311220544544,0.9895869959159387,0.9816050789516523,0.9877851043130472,0.051950639314782165
14,0.05132827756216803,0.9866509299580807,0.9912621876498482,0.9843724564545011,0.9897959183673469,0.04575163116546577
15,0.0524407797613217,0.9936103536689593,0.9957780944953881,0.9912095067556569,0.99420227614344,0.024028018940465284
16,0.05221618094581496,0.9909242603068659,0.9939841916426124,0.9871398339573498,0.9914769662315245,0.03619451787972139
17,0.04959025361485677,0.9916975296080746,0.9945477870429763,0.99072114601986,0.993917404759364,0.0301394222419565
18,0.04548305931429297,0.9947499084286354,0.9965345869711215,0.9921862282272506,0.9948431456811345,0.023380719073382277
19,0.04803961111326297,0.9771275080379309,0.9850991621592958,0.9749308155624288,0.9837105986883858,0.06840416610537166
20,0.04379561534740143,0.9960929551096821,0.9974232338415289,0.9957675402897607,0.9972108989487235,0.01525280765553679
21,0.039566652795151924,0.9929184811362989,0.9953341199184812,0.9905583591079278,0.9937834941050375,0.02862128823153398
22,0.04651097434130946,0.9737902405274511,0.9824695121951219,0.9720006511476478,0.9813084112149533,0.07529072099229477
23,0.04285647224579966,0.9921859102193643,0.9948542024013722,0.9902327852840631,0.9935691318327974,0.03205846587395911
24,0.041228379196878016,0.9928777827520248,0.9953149680079244,0.9931629496988442,0.9955089820359282,0.02305524018092579
25,0.040371194360998196,0.9906800700012209,0.9938696292330343,0.9889304899886049,0.9927365947447127,0.03192734509693196
26,0.04657821186028362,0.996337145415327,0.9975814253466624,0.9952791795539638,0.9968840657569571,0.015015936966923013
27,0.041941110158463836,0.9711448455496317,0.9813002769352499,0.9693960605567312,0.9802188552188552,0.09442958297209092
28,0.03470890851933758,0.9931219730576696,0.9954597963624641,0.9912095067556569,0.9941997851772287,0.026939081613932103
29,0.040778793438353965,0.9959708599568597,0.9973406398581675,0.9951163926420316,0.9967811158798283,0.016646053249809018
30,0.03706067718569983,0.99715111310081,0.9981223175965666,0.9967442617613543,0.9978572959074352,0.013585419824469369
31,0.03228745942044261,0.9969883195637134,0.9980106457336416,0.9957675402897607,0.9972073039742213,0.016209988294382544
32,0.03662924383342888,0.9964592405681495,0.9976594657125178,0.9949536057300993,0.9966670250510697,0.018525150231629556
33,0.03406362854139289,0.9955638761141182,0.9970649217761263,0.9941396711704379,0.9961265332472563,0.02025867283852752
34,0.03237561377198025,0.9929998779048472,0.9953998395292859,0.9921862282272506,0.9948772678762007,0.024148059155391383
35,0.032718384891287165,0.9973139066379064,0.9982261879165771,0.9960931141136252,0.9974226804123711,0.014243879867708623
36,0.030871772597093877,0.9967848276423426,0.9978815263736558,0.9967442617613543,0.9978577549271637,0.013764813907566046
37,0.03209659283525804,0.9882381669447723,0.9922906607623976,0.9861631124857562,0.9909449238308299,0.0369940067489463
38,0.029711142404143704,0.9963778437996011,0.9976113153868864,0.9960931141136252,0.9974265494316963,0.01575719682221492
39,0.03213163949523571,0.9975173985592772,0.9983636022212088,0.996581474849422,0.9977504017139797,0.014111882983458926
40,0.03476496766401856,0.9919010215294453,0.9946310535545663,0.9905583591079278,0.9937419076391886,0.03309473736376608
41,0.03221069236578581,0.9980464775548411,0.9987110633727175,0.9977209832329481,0.9984972091026192,0.01076614772723635
42,0.03561962035524857,0.99096495869114,0.9940660750561318,0.9902327852840631,0.9935924818453652,0.030364349461876827
43,0.030340480764017446,0.9971918114850841,0.9981475018122264,0.9957675402897607,0.9972091026191499,0.014207787328827473
44,0.03140309766772612,0.9982092710919377,0.99881822088526,0.9967442617613543,0.9978540772532188,0.011245264811305352
45,0.02750937116351319,0.9540108257702169,0.9705053247024431,0.9500244180367898,0.9680308237009267,0.2001818027194351
46,0.029225577287187814,0.9933661633633145,0.9956292065535087,0.9905583591079278,0.993784826403772,0.030029510219735545
47,0.026245490450193643,0.9948313051971837,0.9965985483568578,0.9957675402897607,0.9972162740899357,0.016363600591852528
48,0.027755170619583325,0.9962964470310529,0.99755251338049,0.9962559010255575,0.9975292727468041,0.014999486257962916
49,0.026694343690194227,0.9931626714419437,0.9954870251974427,0.9913722936675892,0.9943065850252444,0.024004145215422785
50,0.029137583325355838,0.9928777827520248,0.9953051643192489,0.9930001627869119,0.9953907171186622,0.0251679375888898
