Epoch,Loss,Train Accuracy,Test Accuracy
1,0.6855951555383702,0.7564608685035205,0.7559824190135113
2,0.6804286957485601,0.7576818200317448,0.7589125834282924
3,0.6785405478052174,0.7565829636563428,0.7551684844538499
4,0.6762973148142919,0.7575597248789223,0.7587497965163601
5,0.6741940702001253,0.7580481054902121,0.7585870096044278
6,0.6709604858964061,0.7578853119531155,0.7595637310760215
7,0.6685968262221044,0.7582515974115828,0.759889304899886
8,0.665167458433037,0.7576004232631964,0.759889304899886
9,0.6614136858455216,0.7576004232631964,0.7590753703402247
10,0.6564622503162051,0.7606121036994832,0.7613543871072765
11,0.651308560006631,0.7618737536119816,0.7613543871072765
12,0.6462204126873985,0.7625656261446421,0.763307830050464
13,0.6414689442220455,0.7626470229131903,0.7623311085788702
14,0.6364095778359721,0.7635016889829473,0.7628194693146672
15,0.6314922907428505,0.7588620731756949,0.7608660263714797
16,0.6288133669877425,0.7622400390704489,0.7626566824027348
17,0.6216992367214212,0.7618737536119816,0.7620055347550057
18,0.618374171104127,0.7593504537869846,0.7607032394595474
19,0.6144071841069186,0.7671238451833462,0.7641217646101254
20,0.6116006260272115,0.7615888649220626,0.7621683216669379
21,0.6084412377676927,0.7627284196817387,0.763307830050464
22,0.605926964567819,0.7587399780228725,0.7603776656356829
23,0.6035702982335351,0.7624842293760937,0.7624938954908025
24,0.6009424964431673,0.7611818810793212,0.7624938954908025
25,0.5993467285879888,0.7624435309918196,0.7621683216669379
26,0.5965824699766623,0.7587399780228725,0.7602148787237506
27,0.5964635020548789,0.7580888038744862,0.7605404525476152
28,0.593937487147438,0.7632981970615766,0.7594009441640892
29,0.5931720547572089,0.7569899474990843,0.7589125834282924
30,0.5900684973457828,0.7573969313418257,0.7605404525476152
31,0.5888194983902698,0.7603679133938382,0.7613543871072765
32,0.5899098977679387,0.7582515974115828,0.7602148787237506
33,0.5888532237343801,0.7602458182410158,0.7613543871072765
34,0.5858806183678098,0.7580481054902121,0.7603776656356829
35,0.5848464894030864,0.7621179439176264,0.7626566824027348
36,0.5835718368956199,0.7611818810793212,0.7608660263714797
37,0.5842698738561012,0.7590655650970657,0.7605404525476152
38,0.5824815038746843,0.7589027715599691,0.7603776656356829
39,0.5819945791930271,0.7665947661877823,0.7667263552010418
40,0.5794287731017297,0.7606528020837573,0.7611916001953443
41,0.5804068974102847,0.7590655650970657,0.7600520918118183
42,0.5779321582522243,0.7599202311668227,0.761028813283412
43,0.5787645173065054,0.7591062634813398,0.761028813283412
44,0.5787713581036465,0.758007407105938,0.7605404525476152
45,0.5752538630622439,0.7580481054902121,0.7605404525476152
46,0.5764765310450457,0.7567864555777135,0.7594009441640892
47,0.5760050806178091,0.7608155956208539,0.7611916001953443
48,0.5727911110928593,0.7581295022587603,0.759889304899886
49,0.5761812951532193,0.7570306458833584,0.759889304899886
50,0.575166105836009,0.7587806764071466,0.7597265179879538
