Epoch,Loss,Train Accuracy,Test Accuracy
1,0.5523795970366336,0.757478328110374,0.7587497965163601
2,0.5457579588401131,0.757478328110374,0.7587497965163601
3,0.544559909515859,0.757478328110374,0.7587497965163601
4,0.5430103346977072,0.757478328110374,0.7587497965163601
5,0.5412383850198239,0.757478328110374,0.7587497965163601
6,0.5394035234154823,0.757478328110374,0.7587497965163601
7,0.537551804309866,0.757478328110374,0.7587497965163601
8,0.5347082534766135,0.757478328110374,0.7587497965163601
9,0.5320826483754596,0.757478328110374,0.7587497965163601
10,0.5285216106761558,0.757478328110374,0.7587497965163601
11,0.5246208269963972,0.757478328110374,0.7587497965163601
12,0.5212297333249202,0.7573562329575516,0.7587497965163601
13,0.5178764541245376,0.7574376297260998,0.7587497965163601
14,0.5131285830866545,0.7573562329575516,0.7587497965163601
15,0.5096799436917839,0.7574376297260998,0.7587497965163601
16,0.5059981551409388,0.7571527410361809,0.7589125834282924
17,0.5024210227032503,0.7574376297260998,0.7589125834282924
18,0.49946079034513485,0.757193439420455,0.7587497965163601
19,0.4971635821275413,0.7571527410361809,0.7589125834282924
20,0.49520252645985846,0.7572748361890033,0.7594009441640892
21,0.49327982596393366,0.7571120426519067,0.7587497965163601
22,0.49188534869851236,0.7571120426519067,0.7587497965163601
23,0.4903599900523356,0.7595132473240812,0.7611916001953443
24,0.4884645086325084,0.7567457571934394,0.7590753703402247
25,0.48679154166408506,0.756908550730536,0.7585870096044278
26,0.4850434801386048,0.7568678523462619,0.7587497965163601
27,0.4838919351847532,0.7578039151845671,0.7602148787237506
28,0.4824396640372773,0.7581295022587603,0.7602148787237506
29,0.4817921123758424,0.7579667087216637,0.7602148787237506
30,0.48087935950024985,0.7592283586341623,0.7611916001953443
31,0.48121663682589616,0.7599202311668227,0.7613543871072765
32,0.4803976404752272,0.7573562329575516,0.7600520918118183
33,0.4798816799593624,0.7565422652720687,0.7584242226924955
34,0.47971097547754954,0.7561352814293273,0.7585870096044278
35,0.4795166680996772,0.7560131862765048,0.7587497965163601
36,0.47858476684389945,0.7561759798136014,0.7587497965163601
37,0.4779314790600135,0.7599202311668227,0.7613543871072765
38,0.47659248601606424,0.7560945830450531,0.7587497965163601
39,0.47695674872375093,0.7561759798136014,0.7587497965163601
40,0.4767120024577404,0.7562980749664239,0.7584242226924955
41,0.47610521081757423,0.7563794717349721,0.7584242226924955
42,0.4745906700942821,0.7563794717349721,0.7584242226924955
43,0.4734179175672277,0.7579260103373896,0.7603776656356829
44,0.4739281640892538,0.7565422652720687,0.7585870096044278
45,0.47453038311990287,0.7581295022587603,0.7603776656356829
46,0.4729683092640092,0.7567457571934394,0.7595637310760215
47,0.47231605130946264,0.756623662040617,0.7589125834282924
48,0.4720180913670144,0.7560131862765048,0.7587497965163601
49,0.471764072154959,0.7565829636563428,0.7592381572521569
50,0.4713419660401996,0.7573969313418257,0.7597265179879538
